X,authors,title,abstract,Included,ID
501,"Ingrosso, C., et al. (2012"," ""Surface chemical functionalization of single walled carbon nanotubes with a bacteriorhodopsin mutant."" Nanoscale 4(20","In this work, single walled carbon nanotubes (SWNTs) have been chemically functionalized at their walls with a membrane protein, namely the mutated bacteriorhodopsin D96N, integrated in its native archaeal lipid membrane. The modification of the SWNT walls with the mutant has been carried out in different buffer solutions, at pH 5, 7.5 and 9, to investigate the anchoring process, the typical chemical and physical properties of the component materials being dependent on the pH. The SWNTs modified by interactions with bacteriorhodopsin membrane patches have been characterized by UV-vis steady state, Raman and attenuated total reflection Fourier transform infrared spectroscopy and by atomic force and transmission electron microscopy. The investigation shows that the membrane protein patches wrap the carbon walls by tight chemical interactions undergoing a conformational change; such chemical interactions increase the mechanical strength of the SWNTs and promote charge transfers which p-dope the nano-objects. The functionalization, as well as the SWNT doping, is favoured in acid and basic buffer conditions; such buffers make the nanotube walls more reactive, thus catalysing the anchoring of the membrane protein. The direct electron communication among the materials can be exploited for effectively interfacing the transport properties of carbon nanotubes with both molecular recognition capability and photoactivity of the cell membrane for sensing and photoconversion applications upon integration of the achieved hybrid materials in sensors or photovoltaic devices.",0,501
502,"Iwaszko, J., et al. (2018"," ""Structural and microstructural aspects of asbestos-cement waste vitrification."" Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy 195: 95-102.","The main goal of the work was to evaluate the vitrification process of asbestos-cement waste (ACW). A mixture of 50 wt% ACW and 50 wt% glass cullet was melted in an electric furnace at 1400 °C for 90 min and then cast into a steel mold. The vitrified product was subjected to annealing. Optical microscopy, scanning electron microscopy (SEM), Fourier transform infrared spectroscopy (FT-IR) and X-ray diffraction (XRD) were used to evaluate the effects of the vitrification. The chemical constitution of the material before and after the vitrification process was also analyzed. It was found that the vitrified product has an amorphous structure in which the components of asbestos-cement waste are incorporated. MIR spectroscopy showed that the absorption bands of chrysotile completely disappeared after the vitrification process. The results of the spectroscopic studies were confirmed by X-ray studies - no diffraction reflections from the chrysotile crystallographic planes were observed. As a result of the treatment, the fibrous asbestos construction, the main cause of its pathogenic properties, completely disappeared. The vitrified material was characterized by higher resistance to ion leaching in an aquatic environment than ACW and a smaller volume of nearly 72% in relation to the apparent volume of the substrates. The research has confirmed the high effectiveness of vitrification in neutralizing hazardous waste containing asbestos and the FT-IR spectroscopy was found to be useful to identify asbestos varieties and visualizing changes caused by the vitrification process. The work also presents the current situation regarding the utilization of asbestos-containing products.",0,502
503,"Jackman, M. M. (2009"," ""Review of Your defiant teen: 10 steps to resolve conflict and rebuild your relationship."" Journal of Child and Family Studies 18(1","Reviews the book Your Defiant Teen: 10 Steps to Resolve Conflict and Rebuild Your Relationship by Russell A. Barkley, Arthur L. Robin and Christine M. Benton (see record [rid]2008-01396-000[/rid]). This practical guide provides a tool for parents to nurture teens through this difficult stage of development with compassion, consistency, and structure. The self-help book is divided into two parts: Part I provides background information and establishes a foundation for Part II, which presents the program in a 10-step format. The book’s style is consistently instructive, and as a parent of a teenager, I was able to relate to the realistic examples presented. The book’s greatest strength is that it presents emotionally charged scenarios in a third party format so that the parent can identify with the situations, but remain detached enough to learn from them. The book and its program offer the possibility of change for both parents and teens, as well as hope for families in distress. The book is not only informative but enjoyable, and I believe that any family with a teenaged child would benefit from reading and applying the ideas it promotes. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",0,503
504,"Jacobson, L., et al. (2003"," ""Error and safety in primary care: no clear boundaries."" Family Practice 20(3","This paper examines the notions of adverse events, error, critical incidents and safety from the specific viewpoint of primary care. We conclude that each term can be defined, but existing work which we reviewed uses many of the terms interchangeably. We recognise that trying to access medical error objectively within primary care can be problematic. Regardless of definitions, reflection on critical incidents, adverse events or other notable events is important, but requires time and resources to be conducted effectively.",0,504
505,"Janes, G., et al. (2018"," ""Silent slips, trips and broken hips in the under 60s: A review of the literature."" Int J Orthop Trauma Nurs 30: 23-30.","This critical review of the literature regarding the recovery experiences and healthcare needs of people under 60 following a fragility hip fracture seeks to identify the associated implications for nursing practice and inform care delivery. Forty papers were included following a structured database, citation and grey literature search and filtering of results in line with specified inclusion criteria. Hip fracture is a common, serious and complex injury and an important cause of morbidity, mortality and rising healthcare costs worldwide. This review indicates that although commonly associated with the elderly, incidence and impact in the under 60s has been under-explored. Current health policy, professional and social norms almost exclusively focus on the elderly, surgical interventions and short-term outcomes, rendering the under 60s an inadvertently marginalised, relatively 'silent' sub-set of the hip fracture population. Nurses must be aware, however, of the different recovery needs of this younger group. The limited evidence available indicates these include work related needs and long term physical and psychosocial limitations in this socially and economically active group. Priorities are identified for research to inform policy and practice. Meanwhile, nurses can address the needs of this group by listening to and involving them and their families as healthcare partners.",0,505
506,"Janissen, R., et al. (2015"," ""Spatiotemporal distribution of different extracellular polymeric substances and filamentation mediate Xylella fastidiosa adhesion and biofilm formation."" Scientific reports 5: 9856.","Microorganism pathogenicity strongly relies on the generation of multicellular assemblies, called biofilms. Understanding their organization can unveil vulnerabilities leading to potential treatments; spatially and temporally-resolved comprehensive experimental characterization can provide new details of biofilm formation, and possibly new targets for disease control. Here, biofilm formation of economically important phytopathogen Xylella fastidiosa was analyzed at single-cell resolution using nanometer-resolution spectro-microscopy techniques, addressing the role of different types of extracellular polymeric substances (EPS) at each stage of the entire bacterial life cycle. Single cell adhesion is caused by unspecific electrostatic interactions through proteins at the cell polar region, where EPS accumulation is required for more firmly-attached, irreversibly adhered cells. Subsequently, bacteria form clusters, which are embedded in secreted loosely-bound EPS, and bridged by up to ten-fold elongated cells that form the biofilm framework. During biofilm maturation, soluble EPS forms a filamentous matrix that facilitates cell adhesion and provides mechanical support, while the biofilm keeps anchored by few cells. This floating architecture maximizes nutrient distribution while allowing detachment upon larger shear stresses; it thus complies with biological requirements of the bacteria life cycle. Using new approaches, our findings provide insights regarding different aspects of the adhesion process of X. fastidiosa and biofilm formation.",0,506
507,"Janssen, N., et al. (2017"," ""Behavioural activation by mental health nurses for late-life depression in primary care: A randomized controlled trial."" BMC Psychiatry 17.","Background: Depressive symptoms are common in older adults. The effectiveness of pharmacological treatments and the availability of psychological treatments in primary care are limited. A behavioural approach to depression treatment might be beneficial to many older adults but such care is still largely unavailable. Behavioural Activation (BA) protocols are less complicated and more easy to train than other psychological therapies, making them very suitable for delivery by less specialised therapists. The recent introduction of the mental health nurse in primary care centres in the Netherlands has created major opportunities for improving the accessibility of psychological treatments for late-life depression in primary care. BA may thus address the needs of older patients while improving treatment outcome and lowering costs. The primary objective of this study is to compare the effectiveness and cost-effectiveness of BA in comparison with treatment as usual (TAU) for late-life depression in Dutch primary care. A secondary goal is to explore several potential mechanisms of change, as well as predictors and moderators of treatment outcome of BA for late-life depression. Methods/design: Cluster-randomised controlled multicentre trial with two parallel groups: a) behavioural activation, and b) treatment as usual, conducted in primary care centres with a follow-up of 52 weeks. The main inclusion criterion is a PHQ-9 score > 9. Patients are excluded from the trial in case of severe mental illness that requires specialized treatment, high suicide risk, drug and/or alcohol abuse, prior psychotherapy, change in dosage or type of prescribed antidepressants in the previous 12 weeks, or moderate to severe cognitive impairment. The intervention consists of 8 weekly 30-min BA sessions delivered by a trained mental health nurse. Discussion: We expect BA to be an effective and cost-effective treatment for late-life depression compared to TAU. BA delivered by mental health nurses could increase the availability and accessibility of non-pharmacological treatments for late-life depression in primary care. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",0,507
508,"Jelkmann, M., et al. (2018"," ""New perspectives of starch: Synthesis and in vitro assessment of novel thiolated mucoadhesive derivatives."" Int J Pharm 546(1-2","AIM: The purpose of this study was to develop a novel thiolated starch polymer with improved mucoadhesive properties by conjugation of cysteamine to starch as a natural polymer of restricted mucoadhesive properties. METHODS: Aldehyde substructures were integrated into starch via oxidative cleavage of vicinal diols by increasing amounts of sodium periodate followed by covalent attachment of cysteamine to oxidized starch via reductive amination. Thiol groups were quantified via Ellman's reaction and their impact on mucoadhesion was analyzed by rheological investigations, the rotating cylinder method and tensile studies on porcine mucosa. RESULTS: The total amount of immobilized thiol groups revealed a correlation between degree of oxidation and thiolation. Modified starch demonstrated an up to 1.66-fold increase in water uptake in comparison to native starch. Modification of starch resulted in greatly improved cohesive properties and improvement in mucoadhesion. Rheological investigations revealed a 2- to 4-fold rise in viscosity of mucus. Tensile studies revealed a linear correlation between degree of oxidation/thiolation and enhancement of maximum detachment force and total work adhesion. CONCLUSION: In terms of these results, thiolated starch is a new, promising, polymer in the field of mucoadhesive drug delivery systems.",0,508
509,"Jewkes, R., et al. (2009"," ""Empowering teenagers to prevent pregnancy: lessons from South Africa."" Culture, Health & Sexuality 11(7","Reducing rates of teenage pregnancy is an important part of the agenda of action for meeting most of the Millenium Development Goals. South Africa has important lessons for other countries in this regard as the rate of teenage pregnancy is high but has declined very substantially over the last twenty years. The country experiences waves of moral panic about teenage pregnancy, with assertions that current problems are rooted in accepting or even encouraging the sexual appetites of young people rather than sternly disciplining them. In this paper, we argue that the key to success in teenage pregnancy reduction has been an empowering social policy agenda that has sought to work with young people, making them aware of their rights and the risks of sexual intercourse. Furthermore, family responses and education policy have greatly reduced the potential negative impact of teenage pregnancy on the lives of teenage girls. There is tremendous scope for further progress in reducing teenage pregnancy and we argue that this lies in paying more attention to issues of gender and sexuality, including the terms and conditions under which teenagers have sex. There needs to be critical reflection and engagement with men and boys on issues of masculinity, including their role in child rearing, as well as examination within families of their engagement with supporting pregnancy prevention and responses to pregnancies.",0,509
510,"Jian, X., et al. (2018"," ""Heterostructured Nanorings of Fe-Fe3O4@C Hybrid with Enhanced Microwave Absorption Performance."" ACS applied materials & interfaces 10(11","Microwave absorption is a critical challenge with progression in electronics, where fine structural designing of absorbent materials plays an effective role in optimizing their microwave absorption properties. Here, we have developed Fe3O4@C (FC) and Fe-Fe3O4@C (FFC) hybrid nanorings via a hydrothermal method coupled with a chemical catalytic vapor deposition technique. FC and FFC hybrid nanorings have fine carbon coating while their size can easily be tunable in a certain range from 80-130 to 90-140 nm. The optimized FC and FFC hybrid nanorings bear minimum reflection loss (RL) values of -39.1 dB at 15.9 GHz and -32.9 dB at 17.1 GHz, respectively, whereas FFC shows an effective absorption bandwidth (RL values < -10 dB) ranged from 5.2 to 18 GHz. Such an enhanced microwave absorption performance of hybrid nanorings is mainly due to the suitable impedance characteristics, multilevel interfaces, and polarization features in nanorings. This work provides an approach to design hybrid materials having a complex structure to enhance the microwave absorption properties.",0,510
511,"Jiang, X., et al. (2016"," ""Signal-Switchable Electrochemiluminescence System Coupled with Target Recycling Amplification Strategy for Sensitive Mercury Ion and Mucin 1 Assay."" Analytical chemistry 88(18","In the present work, we first found that mercury ion (Hg(2+)) has an efficient quenching effect on the electrochemiluminescence (ECL) of N-(aminobutyl)-N-(ethylisoluminol) (ABEI). Since we were inspired by this discovery, an aptamer-based ECL sensor was fabricated based on a Hg(2+) triggered signal switch coupled with an exonuclease I (Exo I)-stimulated target recycling amplification strategy for ultrasensitive determination of Hg(2+) and mucin 1 (MUC1). Concretely, the ECL intensity of ABEI-functionalized silver nanoparticles decorated graphene oxide nanocomposite (GO-AgNPs-ABEI) was initially enhanced by ferrocene labeled ssDNA (Fc-S1) (first signal switch ""on"" state) in the existence of H2O2. With the aid of aptamer, assistant ssDNA (S2) and full thymine (T) bases ssDNA (S3) modified Au nanoparticles (AuNPs-S2-S3) were immobilized on the sensing surface through the hybridization reaction. Then, via the strong and stable T-Hg(2+)-T interaction, an abundance of Hg(2+) was successfully captured on the AuNPs-S2-S3 and effectively inhibited the ECL reaction of ABEI (signal switch ""off"" state). Finally, the signal switch ""on"" state was executed by utilizing MUC1 as an aptamer-specific target to bind aptamer, leading to the large decrease of the captured Hg(2+). To further improve the sensitivity of the aptasensor, Exo I was implemented to digest the binded aptamer, which resulted in the release of MUC1 for achieving target recycling with strong detectable ECL signal even in a low level of MUC1. By integrating the quenching effect of Hg(2+) to reduce the background signal and target recycling for signal amplification, this proposed ECL aptasensor was successfully used to detect Hg(2+) and MUC1 sensitively with a wide linear response.",0,511
512,"Jin, B., et al. (2017"," ""Rational Design and Construction of Well-Organized Macro-Mesoporous SiO2/TiO2 Nanostructure toward Robust High-Performance Self-Cleaning Antireflective Thin Films."" ACS applied materials & interfaces 9(20","Antireflection (AR) thin films on optical substrates are of great significance in high-performance optoelectronic devices. Here, we present a rational design and construction of well-organized macro-mesoporous nanostructure toward robust high-performance self-cleaning antireflective thin films on the basis of effective medium theory and finite difference time domain (FDTD) simulations that combine the optical design principle. A hierarchical macro-mesoporous SiO2 thin film with very high porosity and gradient refractive indexes works as a λ/4-wavelength AR layer and significantly suppresses the reflection in the range from 350 to 1200 nm. Even after dip-coating a layer of high refractive index TiO2 nanocrystals, the nanostructured thin film still exhibits broadband AR properties which are much superior to conventional flat SiO2/TiO2 thin films, especially in the range of 350-500 nm. In addition, the obtained thin film exhibits photocatalytic self-cleaning and durable superhydrophilicity. The advantages brought by the well-organized macro-mesoporous structure are also testified through comparing to the solely mesoporous SiO2/TiO2 film counterpart. Moreover, the pencil hardness test and sandpaper abrasion test show favorable robustness and functional durability of the thin film, which make it extremely attractive for practical applications in optical devices, display devices, and photovoltaic cells.",0,512
513,"Johansson, J., et al. (2002"," ""Multiple fiber-optic dual-beam UV/Vis system with application to dissolution testing."" Journal of pharmaceutical and biomedical analysis 29(3","A system for fiber-optic probing in dissolution testing of solid pharmaceutical formulations has been constructed. The system is based on an imaging spectrometer and a charged coupled device (CCD) detector and includes 12 fiber-optic probes with a novel dual-path design. UV light was produced by a small arc deuterium lamp illuminating an optical fiber bundle. Twelve fiber-optic dipping probes were constructed with a reflection geometry. A 5 mm diameter lens was used to achieve a parallel light beam. The light passed back and forth through the flow-through cuvette defined by a sapphire window and a coated aluminium mirror. The mirror was cut in half and each segment was tilted and set at different distances from the window to obtain two separate paths with different lengths. Two receiver fibers were used for each probe to collect the transmitted light. The 24 receiver fibers from the 12 probes were bunched to a linear bundle and fed to an imaging spectrometer and the corresponding spectra were detected with a 512 x 512 pixel cooled CCD detector. The sampling interval was typically a few seconds for all probes. A software package was developed for data recording and on-line analysis. The program includes tools for multi-component analysis. The system was tested for different tablet formulations. Prednisone 50 mg tablets, normally used for control tests of dissolution baths, were followed for 3 h. Secondly, an extended release low dosage tablet was followed for 7 h resulting in a linear dissolution profile. Finally, a combination tablet containing two active drugs was tested for 60 min profiles. In the latter case, separate dissolution curves for the two active components were obtained. Future work will mainly focus on further development of the multi-component capability of the system.",0,513
514,"John, N. J., et al. (2017"," ""Training Psychiatry Residents in Professionalism in the Digital World."" The Psychiatric quarterly 88(2","Professionalism is an abstract concept which makes it difficult to define, assess and teach. An additional layer of complexity is added when discussing professionalism in the context of digital technology, the internet and social media - the digital world. Current physicians-in-training (residents and fellows) are digital natives having been raised in a digital, media saturated world. Consequently, their use of digital technology and social media has been unconstrained - a reflection of it being integral to their social construct and identity. Cultivating the professional identity and therefore professionalism is the charge of residency training programs. Residents have shown negative and hostile attitudes to formalized professionalism curricula in training. Approaches to these curricula need to consider the learning style of Millennials and incorporate more active learning techniques that utilize technology. Reviewing landmark position papers, guidelines and scholarly work can therefore be augmented with use of vignettes and technology that are available to residency training programs for use with their Millennial learners.",0,514
515,"Johnson, A. H. (2008"," ""Review of Finding my way: A teen's guide to living with a parent who has experienced trauma and 'm not alone: A teen's guide to living with a parent who has a mental illness."" Social Work with Groups: A Journal of Community and Clinical Practice 31(3-4","Reviews the books, Finding my way: a teen's guide to living with a parent who has experienced trauma by Michelle D. Sherman and DeAnne M. Sherman (see record [rid]2006-02513-000[/rid]) and I'm not alone: a teen's guide to living with a parent who has a mental illness by Michelle D. Sherman and DeAnne M. Sherman (see record [rid]2007-18798-000[/rid]). Each of these books is caring, straightforward, and melds common sense with informed, thoughtful advice for the teen living with a parent who has experienced trauma or a parent with a serious mental illness. Each follows a similar format, divided into three parts with a gentle 'Welcome' that offers hope to those seeking help and a 'Before you Begin' section that offers suggestions for using the (work) book to its greatest benefit. The three sections are 'Basics,' 'Living with a parent who has . . .,' and 'Wrap-Up.' The 'Basics' includes six chapters of information about what constitutes and how to recognize serious mental illness and trauma, tips on the importance of separating oneself from the illness, helpful information to develop an understanding of the trauma response/mental illness and a new perspective in dealing with their parent. The 'Living with a parent who has . . .' section includes five/seven chapters sharing coping strategies; likely encounters with the symptoms of posttraumatic stress disorder (PTSD) or the mental illnesses of schizophrenia, major depression, and bi-polar disorder; and resource identification for self-management, detachment, and support for the parent. The 'Wrap-Up' section includes three chapters that are summaries of the 'lessons,' specific resource information, and other 'last words' of encouragement. Each of these books offers many options for the worker or therapist of a teen, family, or individual suffering from PTSD, schizophrenia, major depression, or bipolar disorder. As a group worker, though, I imagine that a group informed by either of these books would be immensely helpful to teens, family members, and the person affected by the disorder. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",0,515
516,"Joines, V. (2006"," ""Review of TILT: Teaching Individuals to Live Together."" Transactional Analysis Journal 36(3","Reviews the book, TILT: Teaching Individuals to Live Together by Kalman Kaplan (see record [rid]1998-06398-000[/rid]). This book offers a new and exciting frame of reference that is very helpful to therapists and others who are working to resolve conflicts in human relationships. It redefines the way we tend to look at the issue of interpersonal distance. TILT offers a bidimensional view consisting of both distance from oneself (individuation versus deindividuation) and distance from the other (attachment versus detachment). Kaplan believes that it is the imbalance between individuation and attachment that saps the individual's will to live. There is also a concluding chapter on how TILT can be applied to areas beyond the individual and his or her family, such as international relations, political economics, social organizations, and modern medicine (doctor-patient relations). It is hard to get a clear picture of how Kaplan actually works in therapy and thus how to translate the theory into precise therapeutic interventions. Nevertheless, his model offers such a useful frame of reference, I would highly recommend it to all therapists and other agents of change. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",0,516
517,"Jonah, S. A., et al. (2011"," ""Bulk H analysis using neutrons for routine quality control of cassava and products."" Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine 69(7","Nuclear and related techniques are useful in addressing the issues of food security and safety facing the world today, via quality control of raw materials and products. In this work, experimental investigations were performed to assess the use of total hydrogen content in cassava and products as a quality control indicator of starch and cyanide contents. The work was carried out using a neutron reflection facility at the Centre for Energy Research and Training, Ahmadu Bello University, Zaria, Nigeria. Cassava samples and products were obtained from retail outlets of Ibadan, Umudike and Zaria, representing three major regions of Nigeria. In general, data obtained indicate a total hydrogen content range of 4.47±0.11-10.71±0.27wt% for the various samples, including raw, dry and processed cassava. Results show that samples having low hydrogen content are generally rich in cyanide compounds and demonstrate an inverse relationship between hydrogen content and cyanide content. The implication of this is that the neutron reflection facility can be used as a quality control setup for routine determination of hydrogen as an indicator of the cyanide content in cassava and products.",0,517
518,"Jonas, J. B., et al. (2003"," ""Computer-assisted training system for pars plana vitrectomy."" Acta ophthalmologica Scandinavica 81(6","PURPOSETo evaluate whether microsurgical steps in vitreoretinal surgery can be taught by a computer-assisted training system.METHODSThis prospective, randomized experimental study included 14 ophthalmic residents and medical students who were completely inexperienced in microsurgery. They were randomized into two groups. The study group underwent training programmes in a computer-assisted training system for simulation of pars plana vitrectomy. The control group did not participate in any in vitro training. In the second phase of the study, participants of both groups performed a pars plana vitrectomy in three pig eyes, which included picking a metallic foreign body from the retinal surface.RESULTSThe amount of retinal detachment and the number of retinal defects at the end of the vitrectomies were smaller, the time needed to remove the foreign body was shorter, the number of retinal lesions associated with the foreign body removal was lower, and the mark given was better in the trained study group than in the untrained group. The relatively small number of study participants did not allow the differences between the study and control groups to reach the 5% level of error probability.CONCLUSIONSIn an animal model, training by a computer-based medical work station for simulation of pars plana vitrectomy showed better outcome measures for trained study participants compared with untrained study participants. Future studies may show whether further refinements of such training programmes will result in statistically significantly better results in surgical outcome parameters.",0,518
519,"Jones, S. P., et al. (2008"," ""Engaging service users in the development of stroke services: an action research study."" Journal of Clinical Nursing 17(10","AIMS AND OBJECTIVESTo develop local stroke services by involving, in a meaningful way, those affected by stroke in identifying and prioritising service development issues.BACKGROUNDConsideration should be given to including the views of service users in the evaluation and re-design of services. In stroke, the involvement of patients and carers in the development of services has generally been at a consultative level. There is a need to explore strategies to engage patients and carers more fully with the service development agenda.DESIGNAction research.METHODSWithin the Reflection Phase of this action research study patients' and carers' experiences of stroke services were explored by semi-structured interviews and focus groups. In the Planning and Action Phases, externally facilitated workgroups comprising patients, carers and professionals used a synthesis of the data to identify a range of service development priorities, which informed the development of action plans.RESULTSInformation provision, preparation for transfer of care and the integration of social and leisure activities appear to be priorities for the development of stroke services from the perspective of patients and carers. These findings informed the work of four collaborative workgroups to lead developments in the stroke pathway as follows: stroke prevention and immediate care, early and continuing rehabilitation, transfer of care and long-term support and information provision.CONCLUSIONStroke patients and carers played a key and meaningful part in the identification and prioritisation of service development issues. External facilitation ensured progress with service development and maintaining patient and carer participation. Several pragmatic recommendations for enhancing the local delivery of stroke services were made.RELEVANCE TO CLINICAL PRACTICEWith external facilitation it is possible for stroke service users to take a meaningful role in service developments that moves beyond consultation.",0,519
520,"Jonsson, H. (2018"," ""'Sedentary optics: Static anti-trafficking and mobile victims': Comment."" Current Anthropology 59(2","Comments on an article by S. Molland (see record [rid]2018-15047-002[/rid]). Postpanopticism and the mobility turn that Molland calls attention to offer new journeys of discovery, through reading, regarding the character of social life and of politics. Rather than having to discover the world on their own and from scratch, people rely on advice, information, affirmation, and suggestion from particular others. From playing different roles as ethnographer, analyst, and participant in UN-sponsored anti-trafficking interventions in Laos and Thailand, Molland knows enough cases and positions to be skeptical of any simplistic understanding of the situation and to insist on empirical specificity. The author appreciates his case and have no quarrel with it. The projects that Molland describes and analyses are anchored to particular rhetoric of alarm and rescue that translate internationally across great distances and do not require any familiarity with situations in Laos or with that of Lao people working in Thailand. The imagery of anti-trafficking efforts appears rather far-fetched, 'completely detached from the life worlds of young Lao migrants.' But to the extent that it enables virtual communities based on particular shared understandings of the world, then this too must be recognized as a success. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",0,520
521,"Juarez-Mosqueda, R., et al. (2017"," ""Stability, electronic structure, and optical properties of protected gold-doped silver Ag29-xAux (x = 0-5","In this work, we used density functional theory (DFT) and linear response time-dependent DFT (LR-TDDFT) to investigate the stability, electronic structure, and optical properties of Au-doped [Ag29-xAux(BDT)12(TPP)4]3- nanoclusters (BDT: 1,3-benzenedithiol; TPP triphenylphosphine) with x = 0-5. The aim of this work is to shed light on the most favorable doped structures by comparing our results with previously published experimental data. The calculated relative energies, ranging between 0.8 and 10 meV per atom, indicate that several doped Ag29-xAux nanoclusters are likely to co-exist at room temperature. However, only the Au-doped [Ag29-xAux(BDT)12(TPP)4]3- nanoclusters that have direct bonding between Au dopants and phosphines display an enhancement in the electronic transitions at ∼450 nm. This agrees with the main spectral absorption features that have been experimentally reported for the mixture of Au-doped silver Ag29-xAux nanoclusters. In addition, the formation of the Au-TPP bond could prevent cluster degradation starting from the detachment of the phosphine molecules, since the Au-TPP bond is stronger by ∼0.4 eV than the analogous Ag-TPP one. Thus, the results presented here show the important role of Au-TPP bonding in determining the stability and optical properties of thiolate/phosphine-protected Ag29-xAux nanoclusters.",0,521
522,"Juli, M. R. (2017"," ""Perception of body image in early adolescence. An investigation in secondary schools."" Psychiatria Danubina 29(Suppl 3","Introduction: The clinical evidence shows that the onset of eating disorders is increasing in the prepubescent phase or even in childhood. Already starting from the prepubescence the certainties related to the body start to unwind and the individual is encouraged to build new ones, based both on the anatomic transformation of his/her own body and on the social expectation according to the identity. The onset of a Eating Disorders is normally between 13 and 25 years, but in the last years we recorded a lowering in the onset threshold to an age between 11 and 13 years, with some earlier cases at 7 years (Franzoni et al. 2012). Many theories consider body dissatisfaction as the immediate antecedent to the development of this eating disorder. Different studies have confirmed that a strong concern for physical appearance could sometimes precede an eating disorder (Cuzzolaro 2004). The alteration of the body image is the major predictive factor for the relapse, the patients themselves refer that it is one of the major obstacles for the realization of a lasting recovering. In the following study one hundred kids between 10 and 15 years old, without any Eating Disorders diagnosis, have been tested to evaluate whether if already from this age there is a concern about body image starting at this age, the fear of gaining weight and the desire to be slimmer. It is known, indeed, that these factors, if significantly present in a subject, can turn into predictive factors of a psychopathology. We need to build our body image over time; changing our perception of reality can change also what we see, in particular the body image we strive for changes (Bianchini 2008). Method: 100 teenagers split in 53 females and 47 males aged between 10 and 14 years, randomly picked in the secondary school. Results: The results of the study show that in the age between 10 and 15 years the concern for the body shape is already present, without difference between the genders. Although 45% of the sample is underweight, the Figure Rating Scale test both males and females want to be of lesser weight. 91 subjects reached a BSQ test score of over 34, so most of the sample has a strong concern for their physical appearance. The results obtained by administering the BUT test also highlighted concern about the body with moderate gravity. Discussion: Body dissatisfaction, as so many studies have confirmed, can be considered a precursor of psychopathology. Concerns concern both female gender and male gender. It is also necessary to pay close attention to the pressure exerted by family members, friends and the media towards a difficult to reach thinness ideal. That is why we need to focus on strengthening protective factors in adolescents with prevention and awareness campaigns which are properly targeted. Conclusion: The work resulted a useful reflection on the building of the body image as an early risk factor for the onset of pathologies linked to this concept. We need to commit to an educative practice of support for adolescent, recognition and sharing, which does not avoid the presence of the adults, but in fact it is enriched. It would be appreciated if we could introduce in the school, in the program of different subjects, the discussion regarding different aspects of a healthy nutrition and the formation of a solid self-esteem in order, for the students, to have a critical interpretation of the media message on food, body and beauty. It is desirable to promote the emancipation of the adolescents from a condition of dependence to discover their own place in the world. The educative action can help developing the research of the meaning of the own personality. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",0,522
523,"Jung, D., et al. (2016"," ""Compensation Method of Natural Head Movement for Gaze Tracking System Using an Ultrasonic Sensor for Distance Measurement."" Sensors (Basel, Switzerland","Most gaze tracking systems are based on the pupil center corneal reflection (PCCR) method using near infrared (NIR) illuminators. One advantage of the PCCR method is the high accuracy it achieves in gaze tracking because it compensates for the pupil center position based on the relative position of corneal specular reflection (SR). However, the PCCR method only works for user head movements within a limited range, and its performance is degraded by the natural movement of the user's head. To overcome this problem, we propose a gaze tracking method using an ultrasonic sensor that is robust to the natural head movement of users. Experimental results demonstrate that with our compensation method the gaze tracking system is more robust to natural head movements compared to other systems without our method and commercial systems.",0,523
524,"Justen, G. C., et al. (2012"," ""Elements concentration analysis in groundwater from the North Serra Geral aquifer in Santa Helena-Brazil using SR-TXRF spectrometer."" Water science and technology : a journal of the International Association on Water Pollution Research 66(5","In this work the analysis of elements concentration in groundwater was performed using the synchrotron radiation total-reflection X-ray fluorescence (SR-TXRF) technique. A set of nine tube-wells with serious risk of contamination was chosen to monitor the mean concentration of elements in groundwater from the North Serra Geral aquifer in Santa Helena, Brazil, during 1 year. Element concentrations were determined applying a SR-TXRF methodology. The accuracy of SR-TXRF technique was validated by analysis of a certified reference material. As the groundwater composition in the North Serra Geral aquifer showed heterogeneity in the spatial distribution of eight major elements, a hierarchical clustering to the data was performed. By a similarity in their compositions, two of the nine wells were grouped in a first cluster, while the other seven were grouped in a second cluster. Calcium was the major element in all wells, with higher Ca concentration in the second cluster than in the first cluster. However, concentrations of Ti, V, Cr in the first cluster are slightly higher than those in the second cluster. The findings of this study within a monitoring program of tube-wells could provide a useful assessment of controls over groundwater composition and support management at regional level.",0,524
