key,title,abstract,keywords,authors,year,url,Included,ID
117,The Effectiveness of Psychosocial Interventions for Psychological Outcomes in Pediatric Oncology: A Systematic Review,"CONTEXT: This review summarizes the current randomized controlled trials literature on psychological and physical outcomes of psychosocial interventions in pediatric oncology. OBJECTIVES: The objective of this study was to evaluate the effectiveness and impact of psychosocial interventions in children with cancer. METHODS: A search of the literature resulted in a total of 12 randomized clinical trials and these have evaluated psychosocial interventions in children younger than 18 years with current and previous diagnoses of cancer. Outcome measures were both psychological (e.g., symptoms of anxiety, depression, quality of life, and self-esteem) and physical (e.g., cancer symptoms, treatment adherence, and pain). Interventions identified included cognitive behavioral therapy (CBT; n = 4), joint CBT and physical exercise therapy (n = 1), family therapy (n = 2), therapeutic music video (n = 2), self-coping strategies (n = 1), a wish fulfillment intervention (n = 1), and joint family therapy and CBT (n = 1). RESULTS: Nine studies reported statistically significant improvements on psychological outcomes. These findings suggest that psychosocial interventions are effective at reducing anxiety and depressive symptoms as well as improving quality of life. Additionally, six studies found psychosocial interventions to have a positive impact on physical symptoms and well-being, including a reduction in procedural pain and symptom distress. CONCLUSION: These findings suggest that mental health needs in pediatric oncology patients can and should be addressed, potentially which will lead to better mental and physical health outcomes.","Pediatric oncology; systematic review; psychosocial interventions; randomized controlled trials; mental health; QUALITY-OF-LIFE; RANDOMIZED CLINICAL-TRIAL; POSTTRAUMATIC STRESS; CHILDHOOD-CANCER; CHILDREN; SURVIVORS; VALIDITY; SCALE; METAANALYSIS; ADOLESCENTS; Health Care Sciences & Services; Medicine, General & Internal; Clinical Neurology; Health Care Sciences & Services; General & Internal Medicine; Neurosciences & Neurology; Video Meta Results Raw",Coughtrey A and Millington A and Bennett S and Christie D and Hough R and Su MT and Constantinou MP and Shafran R,,,0,110
118,Mobile Learning Content Authoring Tools (MLCATs): A Systematic Review,"Mobile learning is currently receiving a lot of attention in the education arena, particularly within electronic learning. This is attributed to the increasing mobile penetration rates and the subsequent increases in university student enrolments. Mobile Learning environments are supported by a number of crucial services such as content creation which require an authoring tool. The last decade or so has witnessed increased attention on tools for authoring mobile learning content for education. This can be seen from the vast number of conference and journal publications devoted to the topic. Therefore, the goal of this paper is to review works that were published, suggest a new classification framework and explore each of the classification features. This paper is based on a systematic review of mobile learning content authoring tools (MLCATs) from 2000 to 2009. The framework is developed based on three broad dimensions i.e. Technology, Pedagogy and Usability and a number of features such as system type, development context, Tools and Technologies used, tool availability, ICTD relation, Multimedia support, tool purpose, support for standards, learning style support, intuitive Graphical User Interface and accessibility. This paper provides a means for researchers to extract assertions and several important lessons for the choice and implementation of MLCATs.",Video Meta Results Raw,Mugwanya R and Marsden G,,,0,111
119,Sympathetic pain? A role of poor parasympathetic nervous system engagement in vicarious pain states,"This study investigated the psychophysiological correlates of the subjective experience of vicarious pain; that is, a spontaneous experience of pain when seeing another in pain. Forty-nine healthy, otherwise pain-free individuals aged 18-55 years completed empathy and anxiety questionnaires and were classified into three groups: vicarious responders with high anxiety (n=11), vicarious responders with low anxiety (n=22), and nonresponders (n=16). Electrophysiological recordings of heart rate variability (HRV) during paced breathing and cognitive stress (serial sevens task) were completed before participants viewed short videos of athletes in states of pain or happiness, taken from Australian League Football matches. Change in beats per minute, relative to neutral scenes, were analyzed for the first 4 s after onset of the painful or happy event. Anxious responders had lower HF-HRV than both other groups, implicating poor parasympathetic regulation specific to states of stress. Both vicarious responder groups had elevated HR at the event onset, regardless of valence. After viewing painful injuries, nonanxious vicarious responders showed sustained HR over time, anxious responders showed HR acceleration with a peak at 3 s after the injury onset, and nonresponders showed a pattern of marked HR deceleration. These findings suggest that vicarious pain in anxious responders is associated with poorly regulated sympathetic arousal via insufficient inhibitory parasympathetic activity, whereas nonanxious persons show sustained arousal. Clearly, multiple mechanisms in the central and peripheral nervous system must play a role in vicarious pain states, and the different manifestations are likely to lead to very different behavioral consequences.",Video Meta Results Raw,Nazarewicz J and Verdejo-Garcia A and Giummarra MJ,,,0,112
120,A scoping review of research on digital game-based language learning,"The continuing attention to the educational value of digital games highlights the need for more focused literature reviews in order to identify critical gaps and opportunities in domain-specific areas. The current study thus set out to provide a scoping overview of empirical evidence on the use and impacts of digital games in language education from 2007 to 2016, as a means to advance the emerging research on digital game-based language learning (DGBLL). A total of 50 selected studies were systematically analyzed, revealing the following findings: (1) Most of the selected DGBLL studies adopted mixed methods to examine the educational use of digital games; (2) Immersive games, notably massively multiplayer online role-playing games, were the most common genre in the current DGBLL literature; (3) Most of the games for language learning were custom-built by DGBLL researchers; (4) Personal computers were the most common platforms for playing games to support language learning; (5) Most of the DGBLL studies adopted games to facilitate the learning of English as a second or foreign language; (6) Most of the research on DGBLL investigated learners with mixed levels of language proficiency; (7) University students were the most frequently selected samples in the existing DGBLL literature; and (8) The majority of DGBLL studies featured positive outcomes in regard to student learning, with the most frequently reported ones being related to affective or psychological states, closely followed by language acquisition. Taken as a whole, these findings reflect the diverse nature of this field and suggest the overall feasibility of using digital games for promoting the language and literacy learning of both native and non-native speakers in various aspects. Several promising but under researched areas were also identified in this review, along with discussions on their implications for future investigations.","Applications in subject areas; Digital games; Language learning; Literature review; Media in education; ROLE-PLAYING GAMES; COMPUTER GAMES; ENGLISH VOCABULARY; EMPIRICAL-EVIDENCE; SERIOUS GAMES; VIDEO GAMES; EDUCATION; PERFORMANCE; LEARNERS; STUDENTS; Computer Science, Interdisciplinary Applications; Education & Educational Research; Computer Science; Education & Educational Research; Video Meta Results Raw",Hung HT and Yang JC and Hwang GJ and Chu HC and Wang CC,,,0,113
121,A virtual learning environment for the continuation of education and its relationship with the mental well-being of chronically ill adolescents,"Research has shown that the continuation of education by chronically ill adolescents is an important way to avoid social isolation, psychosocial problems and the accumulation of learning difficulties. In this light, virtual learning environments (VLEs), which connect sick adolescents to their schools, play an important role in ensuring that the sick adolescents continue their education, and in contributing to their mental well-being. This study investigated the extent to which a VLE supports the continuation of education and school interactions among sick adolescents and how it is related to their mental well-being. The results show that the VLE had a positive impact on supporting the continuation of education and school interactions among chronically sick adolescents and was considered very helpful to their mental well-being.",Video Meta Results Raw,Zhu C and Van Winkel L,,,0,114
122,The development of mental rotation abilities through robotics-based instruction: An experience mediated by gender,The research literature on the topic of \spatial ability\' reveals that it has a major influence on achievement in the fields of science,technology,Antonio Gonzalez-Calero J and Cozar R and Villena R and Miguel Merino J,,,0,115
124,Treatments of internet gaming disorder: a systematic review of the evidence,"Introduction: The American Psychiatric Association included Internet gaming disorder (IGD) in the 5th Edition of the Diagnostic and Statistical Manual of Mental Disorders, and the World Health Organization included gaming disorder in the 11th revision of the International Classification of Diseases. These recent updates suggest significant concern related to the harms of excessive gaming.Areas covered: This systematic review provides an updated summary of the scientific literature on treatments for IGD. Inclusion criteria were that studies: 1) evaluate the effectiveness of an intervention for IGD or excessive gaming; 2) use an experimental design (i.e. multi-armed [randomized or nonrandomized] or pretest-posttest); 3) include at least 10 participants per group; and 4) include an outcome measure of IGD symptoms or gaming duration. The review identified 22 studies evaluating treatments for IGD: 8 evaluating medication, 7 evaluating cognitive behavioral psychotherapy, and 7 evaluating other interventions and psychosocial treatments.Expert opinion: Even with the recent uptick in publication of such clinical trials, methodological flaws prevent strong conclusions about the efficacy of any treatment for IGD. Additional well-designed clinical trials using common metrics for assessing IGD symptoms are needed to advance the field.",Internet gaming disorder; treatment; systematic review; video game addiction; excessive gaming; ONLINE GAME PLAY; CRAVING BEHAVIORAL INTERVENTION; FUNCTIONAL CONNECTIVITY; BRAIN ACTIVITY; ADDICTION; BUPROPION; ADOLESCENTS; THERAPY; ESCITALOPRAM; ADULTS; Clinical Neurology; Pharmacology & Pharmacy; Neurosciences & Neurology; Pharmacology & Pharmacy; Video Meta Results Raw,Zajac K and Ginley MK and Chang R,,,0,116
125,Design and Evaluation of a Low-Cost Bronchoscopy-Guided Percutaneous Dilatational Tracheostomy Simulator,"Introduction Bronchoscopy-guided percutaneous dilatational tracheostomy (BG-PDT) is an invasive procedure regularly performed in the intensive care unit. Risk of serious complications have been estimated in up to 5%, focused during the learning phase. We have not found any published formal training protocols, and commercial simulators are costly and not widely available in some countries. The objective of this study was to present the design and simulator performance of a low-cost BG-PDT simulator. Methods A simulator was designed with materials available in a hardware store, synthetic skin pads, ex vivo bovine tracheas, and a pipe inspection camera. The simulator was tested in 8 experts and 9 novices. Sessions were video recorded, and participants were equipped with the Imperial College Surgical Device, a hand motion-tracking device. Performance was evaluated with a multimodal approach, including first attempt success rate, global success rate, total procedural time, Imperial College Surgical Device-derived proficiency parameters, and global rating scale applied blindly by 2 expert observers. A satisfaction survey was applied after the procedure. Results A simulator was successfully constructed, allowing multiple iterations per assembly, with a fixed cost of US $30 and $4 per use. Experts had greater global and first attempt success rate, performed the procedure faster, and with greater proficiency. It presented high user satisfaction and fidelity. Conclusions A low-cost BG-PDT simulator was successfully constructed, with the ability to discriminate between experts and novices, and with high fidelity. Considering its ease of construction and cost, it can be replicated in almost any intensive care unit.",Tracheostomy; simulation; low cost; percutaneous dilatational tracheostomy; intensive care medicine; critical care; CENTRAL VENOUS CATHETERIZATION; MODEL; METAANALYSIS; COMPETENCE; INSERTION; Health Care Sciences & Services; Health Care Sciences & Services; Video Meta Results Raw,Kattan E and Vera M and Putz F and Corvetto M and De la Fuente R and Bravo S,,,0,117
126,Psychological Vulnerability and Problem Gambling: The Mediational Role of Cognitive Distortions,"Despite numerous studies demonstrating the influence of cognitive distortions on gambling problem severity, empirical data regarding the role of psychological vulnerability on the latter is limited. Hence, this study assesses the mediating effect of cognitive distortions between psychological vulnerability (personality and mood), and gambling problem severity. It also verifies whether the relationships between these variables differs according to the preferred gambling activity. The sample is composed of 272 male gamblers [191 poker players; 81 video lottery terminal (VLT) players] aged between 18 and 82 years (M = 35.2). Bootstrap analysis results revealed that cognitive distortions mediate the effect of narcissism on gambling problem severity for both groups. The level of depression for VLT players significantly predicted gambling problem severity, both directly and indirectly via the mediating effect of cognitive distortions. Mediation analyses also indicated that narcissism had an indirect impact on problem gambling through cognitive distortions for both groups. These findings suggest that certain vulnerabilities related to personality and mood may influence cognitive distortion intensity and gambling problem severity. In addition, psychological vulnerabilities could differ based on preferred gambling activity. These results may be useful for prevention policies, identifying high risk gamblers and planning psychological interventions.","Problem gambling; Poker; Video lottery terminals; Cognitive distortion; Mediation; Personality; Mood; SENSATION SEEKING; PSYCHOMETRIC PROPERTIES; PATHOLOGICAL NARCISSISM; PATHWAYS MODEL; INVENTORY; GAMBLERS; ANXIETY; METAANALYSIS; IMPULSIVITY; VALIDATION; Substance Abuse; Psychology, Multidisciplinary; Substance Abuse; Psychology; Video Meta Results Raw",Levesque D and Sevigny S and Giroux I and Jacques C,,,0,118
127,Pills or Push-Ups? Effectiveness and Public Perception of Pharmacological and Non-Pharmacological Cognitive Enhancement,"We review work on the effectiveness of different forms of cognitive enhancement, both pharmacological and non-pharmacological. We consider caffeine, methylphenidate, and modafinil for pharmacological cognitive enhancement (POE) and computer training, physical exercise, and sleep for non-pharmacological cognitive enhancement (NPCE). We find that all of the techniques described can produce significant beneficial effects on cognitive performance. However, effect sizes are moderate, and consistently dependent on individual and situational factors as well as the cognitive domain in question. Although meta-analyses allowing a quantitative comparison of effectiveness across techniques are lacking to date, we can conclude that POE is not more effective than NPCE. We discuss the physiological reasons for this limited effectiveness. We then propose that even though their actual effectiveness seems similar, in the general public POE is perceived as fundamentally different from NPCE, in terms of effectiveness, but also in terms of acceptability. We illustrate the potential consequences such a misperception of POE can have.",Video Meta Results Raw,Caviola L and Faber NS,,,0,119
128,A review of the literature: direct and video laryngoscopy with simulation as educational intervention,"Introduction: A review of the literature was conducted to analyze the impact of -simulation-based training for direct and video laryngoscopy (VL) skills for health care professionals and health care students. Methods: This review focused on the published literature that used randomized controlled trials to examine the effectiveness of simulation-based training to develop airway management skills and identify pertinent literature by searching PubMed from inception of the database up to July 2013. This current review addresses the question of whether airway management simulation-based training improves the acquisition of resuscitation skills for health care profession learners. Results: A total of eleven articles qualified for this systematic review based on the inclusion and exclusion criteria. These studies were analyzed and the specific simulators, participants, assessments, and details related to: time of intubation; Cormack and Lehane classification; success and failure rate; and number of attempts. Conclusion: This review suggests that simulation-based training is one effective way to teach VL skills. VL allows for a higher success rate, faster response time, and a decrease in the number of attempts by health care students and health care professionals under the conditions based on the eleven studies reviewed.",Video Meta Results Raw,Vanderbilt AA and Mayglothling J and Pastis NJ and Franzen D,,,0,120
129,A meta-analytic review of age differences in theory of mind,"Age-related difficulties in understanding basic emotional signals are now well established, but less clear is how aging affects theory of mind (ToM), which refers to the understanding of more complex emotions and mental states. A meta-analysis of 23 datasets involving 1462 (790 younger and 672 older) participants was conducted in which six basic types of ToM task were identified (Stories, Eyes, Videos, False belief-video, False belief-other, and Faux pas). Each ToM task was also categorized according to domain (affective, cognitive, or mixed) and modality (verbal, visual-static, visual-dynamic, verbal and visual-static, or verbal and visual-dynamic). Overall, collapsed across all types of task, older adults were found to perform more poorly than younger adults, with the degree of ToM difficulty they experienced moderate in magnitude (r = −.41). The results also provide evidence for increased ToM difficulties in late adulthood regardless of specific task parameters, with deficits evident across all task types, domains, and modalities. With few exceptions, age deficits for ToM tasks were larger in magnitude compared with matched control tasks. These data have implications for our understanding of mental state attribution processes in late adulthood, suggesting that ToM difficulties are not simply secondary to non-ToM related task demands. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",belief reasoning; emotion processing; mental state attribution; social understanding; theory of mind; Age Factors; Aging; Comprehension; Emotions; Humans; Theory of Mind; Age Differences; Emotions; Reasoning; Social Cognition; Theory of Mind; Attribution; Comprehension; Video Meta Results Raw,Henry JD and Phillips LH and Ruffman T and Bailey PE,,,0,121
130,Influence of indocyanine green angiography on microsurgical treatment of spinal perimedullary arteriovenous fistulas,"OBJECTIVE The microvascular anatomy of spinal perimedullary arteriovenous fistulas (AVFs) is more complicated than that of dural AVFs, and occlusion rates of AVF after open microsurgery or endovascular embolization are lower in patients with perimedullary AVFs (29%-70%) than they are in those with dural AVF (97%-98%). Reports of intraoperative blood flow assessment using indocyanine green (ICG) video angiography in spinal arteriovenous lesions have mostly been for spinal dural AVFs. No detailed reports on spinal perimedullary AVFs are available. METHODS Participants were 11 patients with spinal perimedullary AVFs (Type IVa in 5 patients, Type VIb in 4, and Type IVc in 2). Intraoperative ICG video angiography was assessed by measuring the number of cases in which this modality was judged essential by the surgeon to correctly occlude the fistula. RESULTS In all patients, arterial feeders were identified and intravenous ICG video angiography was performed before and after blocking the feeders. In one patient, selective intraarterial ICG video angiography was also performed. The findings provided by ICG video angiography significantly changed the surgical procedure in 4 of 11 patients (36%). Post-operatively, complete occlusion of the AVF was achieved in 10 of the 11 patients (91%). CONCLUSIONS Intraoperative ICG video angiography can have a significant impact on deciding surgical strategy in the microsurgical treatment of spinal perimedullary AVF.",Video Meta Results Raw,Takai K and Kurita H and Hara T and Kawai K and Taniguchi M,,,0,122
131,"‘Gist watching can only take you so far’: attitudes, strategies and changes in behaviour in watching films with captions","Watching foreign language programmes and films with captions (same-language subtitles intended for the deaf and hard-of-hearing) has been shown to assist learners in phonetic retuning, vocabulary acquisition and listening comprehension [e.g. Mitterer and McQueen, 2009. Foreign subtitles help but native-language subtitles harm foreign speech perception. PLOS ONE 4, no. 1: e7785. doi:10.1371/journal.pone.0007785; Montero Perez, Van Den Noortgate and Desmet, 2013. captioned video for L2 listening and vocabulary learning: A meta-analysis. System 41, no. 3: 720–739; Rodgers and Webb, 2017. The effects of captions on EFL learners’ comprehension of English-language television programs. CALICO Journal 34, no. 1: 20–38]. However, relatively little is known about the outcomes and changes in viewing behaviour when learners watch with captions over an extended period if choice and control of viewing material are provided. This article reports qualitative findings of the EURECAP Project in which 36 learners of French, German, Italian and Spanish at intermediate level and above in a large UK university chose from a wide range of films on DVD with optional captions and watched them under their control in their own time. Their experiences as noted in viewing diaries revealed wide differences in viewing behaviour, attitudes to watching with captions and caption-guided viewing strategies over the period of the study. Participants fell into three broad strategic categories: Minimal users who were focused throughout on enjoying films as they would in their L1, evolving users who showed marked changes in their viewing behaviour over time, and maximal users who tended to be experienced at using films to enhance their language learning. We also compare participant behaviour with models of multimedia learning and suggest implications for future practice and research, especially in the light of global video streaming services with captions. © 2019, © 2019 Association for Language Learning.",Subtitles; captions; captioned films; multimedia; audiovisual; television; strategies; TELEVISION; LANGUAGE; LEARNERS; VIDEO; PRINT; Education & Educational Research; Education & Educational Research; audio-visual; Video Meta Results Raw,Vanderplank R,,,0,123
132,Speech versus text supported hints in learning to solve word problems,"The aim of this research was to test whether the effectiveness of hints offered in a computer programme for word problem solving can be enhanced by combining visual schemas with spoken instruction (audio and visual input) instead of written instruction with visual schemas (visual only input). In complex tasks, audio/visual information is easier to comprehend than visual only information (Clark and Mayer, 2011, call this the 'modality effect'). In a first study, it was tested on the basis of 6 word problems whether grade 5 students (n = 20) better improved their solution plans using audio plus visual schemas than students who were provided with text plus visual schemas (n = 21). We found that students who worked with audio/visual hints had less difficulty in translating the hints information into their solution plans. The second study was based on a programme containing 48 word problems in which hints use was optional. The students in the audio-visual condition (n = 28) solved more problems correctly and performed better on a post-test than the students in the text-visual condition (n = 30). These results seem to support our expectation that the modality of hints affects students' comprehension and ability levels in solving word problems. (C) 2015 Elsevier Ltd. All rights reserved.",Video Meta Results Raw,de Kock WD,,,0,124
134,A Study on the Effect of Lecture and Multimedia Software on Drug Calculation and Prescription: A Systematic Review,"Objective: Medication errors can be a risk factor undermining the patient's health, giving rise to irreparable consequences. The medication errors involve miscalculation of drug dosages by nurses and nursing students. Methods: This study employed several databases including Google Scholar, PubMed and Scopus. For this purpose, the keywords were relevant to virtual learning, electronic learning, learning through lecture, blended learning, online learning, distance education, nursing education, multimedia learning, and teaching aids. The search results were not limited in terms of time. Results: Lack of knowledge and skills in pharmacology and miscalculations are the major factors contributing to medication errors by nurses and nursing students. Moreover, poor basic knowledge of mathematics among the nursing students can lead to numerous mistakes. The results of previous studies have indicated that blended learning can have a positive impact on learning progress among nursing students. However, some studies have suggested that multimedia tools and teaching aids leave little impact on learning. Conclusion: It is suggested that the correct adoption of blended learning methods can improve the nursing education in terms of drug calculations.",Video Meta Results Raw,Feizalahzadeh H and Valizadeh S and Avari M and Virani F,,,0,125
136,The robust self-esteem proxy: Impressions of self-esteem inform judgments of personality and social value,"People use impressions of an evaluative target's self-esteem to infer their possession of socially desirable traits. But will people still use this self-esteem proxy when trait-relevant diagnostic information is available? We test this possibility in two experiments: participants learn that a target person has low or high self-esteem, and then receive diagnostic information about the target's academic success or failure and positive or negative affectivity (Study 1), or watch a video of the target's extraverted or introverted behavior (Study 2). In both experiments, participants' impressions of the target's traits accurately tracked diagnostic information, but impressions also revealed an independent self-esteem proxy effect. Evidently, the self-esteem proxy is robust and influences person perception even in the presence of vivid individuating information.",Video Meta Results Raw,Cameron JJ and Stinson DA and Hoplock L and Hole C and Schellenberg J,,,0,126
137,Sex difference in spatial ability for college students and exploration of measurement invariance,"This study investigates psychometric evidence for a spatial ability instrument with a focus on measurement invariance and sex difference in this domain. The Purdue Visualization of Rotations (ROT) test was administered to science major students enrolled in a college chemistry course to measure mental rotation ability. Confirmatory factor analysis (CFA) was used to evaluate the fit of three alternative models. A bi-factor model is a better fit for the data than other models (1-factor, 4-factor 2nd-order), which indicates that the probability of answering a test item correctly is affected not only by student ability but also by an item-writing pattern. Results from multiple group CFA support the measurement invariance of the bi-factor model between sexes and the outperformance of males over females with medium to large effect sizes. In conclusion, the ROT is appropriate to measure student mental rotation ability in college classrooms and to detect a difference between sexes. (C) 2015 Elsevier Inc. All rights reserved.",Video Meta Results Raw,Xu X and Kim ES and Lewis JE,,,0,127
138,Defining the learning curve for endotracheal intubation using direct laryngoscopy: A systematic review,"More than two failed intubation attempts and failed endotracheal intubations (ETIs) are associated with severe complications and death. The aim of this review was to determine the number of ETIs a health care provider in training needs to perform to achieve proficiency within two attempts. A systematic search of the literature was conducted covering the time frame of January 1990 through July 2014. We identified 13 studies with a total of 1462 students who had attempted to intubate 19,108 patients. This review shows that in mostly elective circumstances, at least 50 ETIs with no more than two intubation attempts need to be performed to reach a success rate of at least 90%. However, the evidence is heterogeneous, and the incidence of difficult airways in non-elective settings is up to 20 times higher compared to elective settings. Taking this factor into account, training should include a variety of exposures and should probably exceed 50 ETIs to successfully serve the most vulnerable patients. (C) 2015 Elsevier Ireland Ltd. All rights reserved.",Video Meta Results Raw,Buis ML and Maissan IM and Hoeks SE and Klimek M and Stolker RJ,,,0,128
139,Teaching Two Students with Asperger Syndrome to Greet Adults Using Social Stories((TM)) and Video Modeling,"We evaluated the effects of Social Stories((TM)) and video modeling for teaching two students with Asperger syndrome to greet school staff. A Social Story((TM)) describing how to greet teaching staff and other adults at school was introduced across participants in a multiple-baseline design. After the students demonstrated they had learned to make a simple greeting (e.g., Hi), video modeling was introduced to teach them to produce a more complex greeting (e.g., Hello. How are you?\). The two students learned to greet teachers and researchers",but they did not consistently use the more complex greeting response with the teachers. The results suggest that the Social Stories((TM)) and video modeling interventions were moderately effective in teaching the targeted greeting responses.',Kagohara DM and Achmadi D and van der Meer L and Lancioni GE and O'Reilly MF and Lang R and Marschik PB and Sutherland D and Ramdoss S and Green VA and Sigafoos J,,,0,129
140,Polarity correspondence in metaphor congruency effects: structural overlap predicts categorization times for bipolar concepts presented in vertical space,"Previous research has shown that words presented on metaphor congruent locations (e.g., positive words UP on the screen and negative words DOWN on the screen) are categorized faster than words presented on metaphor incongruent locations (e.g., positive words DOWN and negative words UP). These findings have been explained in terms of an interference effect: The meaning associated with UP and DOWN vertical space can automatically interfere with the categorization of words with a metaphorically incongruent meaning. The current studies test an alternative explanation for the interaction between the vertical position of abstract concepts and the speed with which these stimuli are categorized. Research on polarity differences (basic asymmetries in the way dimensions are processed) predicts that +polar endpoints of dimensions (e.g., positive, moral, UP) are categorized faster than -polar endpoints of dimensions (e.g., negative, immoral, DOWN). Furthermore, the polarity correspondence principle predicts that stimuli where polarities correspond (e.g., positive words presented UP) provide an additional processing benefit compared to stimuli where polarities do not correspond (e.g., negative words presented UP). A meta-analysis (Study 1) shows that a polarity account provides a better explanation of reaction time patterns in previous studies than an interference explanation. An experiment (Study 2) reveals that controlling for the polarity benefit of +polar words compared to -polar words did not only remove the main effect of word polarity but also the interaction between word meaning and vertical position due to polarity correspondence. These results reveal that metaphor congruency effects should not be interpreted as automatic associations between vertical locations and word meaning but instead are more parsimoniously explained by their structural overlap in polarities.","Netherlands; Netherlands (Utrecht); ERIC, Current Index to Journals in Education (CIJE); Higher Education; Postsecondary Education; Spatial Ability; College Students; Congruence (Psychology); Classification; Perception; Interference (Learning); Reaction Time; Meta Analysis; Foreign Countries; Figurative Language; Video Meta Results Raw",Lakens D,,,0,130
141,Sex Differences in Mental Rotation Tasks: Not Just in the Mental Rotation Process!,"The paper-and-pencil Mental Rotation Test (Vandenberg & Kuse, 1978) consistently produces large sex differences favoring men (Voyer, Voyer, & Bryden, 1995). In this task, participants select 2 of 4 answer choices that are rotations of a probe stimulus. Incorrect choices (i.e., foils) are either mirror reflections of the probe or structurally different. In contrast, in the mental rotation experimental task (Shepard & Metzler, 1971) participants judge whether 2 stimuli are the same but rotated or different by mirror reflection. The goal of the present research was to examine sources of sex differences in mental rotation, including the ability to capitalize on the availability of structure foils. In 2 experiments, both men and women had greater accuracy and faster reaction times (RTs) for structurally different compared with mirror foils in different versions of the Vandenberg and Kuse Mental Rotation Test (Experiment 1) and the Shepard and Metzler experimental task (Experiment 2). A significant male advantage in accuracy but not response time was found for both trial types. The male advantage was evident when all foils were structure foils so that mental rotation was not necessary (Experiment 3); however, when all foils were structure foils and participants were instructed to look for structure foils a significant sex difference was no longer evident (Experiment 4). Results suggest that the mental rotation process is not the only source of the sex difference in mental rotation tasks. Alternative strategy use is another source of sex differences in these tasks.","mental rotation; sex differences; strategies; SPATIAL ABILITY; GENDER-DIFFERENCES; 3-DIMENSIONAL OBJECTS; COGNITIVE-PROCESSES; PERFORMANCE; METAANALYSIS; COMPONENTS; COMPLEXITY; MAGNITUDE; Psychology; Psychology, Experimental; Psychology; Video Meta Results Raw",Boone AP and Hegarty M,,,0,131
142,Implementing Follow-Along Physical Activity Videos with People Living With Chronic Conditions: A Feasibility Study,"Background Compelling evidence supports multiple benefits of physical activity (PA) even in small bursts. Less than 50% of Americans achieve recommended PA levels, lower still for individuals living with chronic illness or disease. Purpose The purpose of this study was to develop and evaluate the feasibility and preliminary effects of 3-min follow-along video scenarios to promote brief episodes of low-moderate levels of PA among individuals with chronic diseases. Methods Guided by our previous studies and self-efficacy theory, the program (WellMe in 3 (c) for Patients) was modeled after another program developed for healthcare staff. An advisory panel and a health and fitness expert guided the creation of twelve 3-min video scenarios that included two individuals living with chronic illness and a fitness leader who guided the PA scenarios and how to adapt them based on limitations. The 12 scenarios included 3 min of aerobic activities, stretching, or balance. Preliminary pilot effects were measured among 39 patients living with chronic conditions for one month. Standardized instruments were used to measure PA levels, PA self-efficacy (SE), and quality of life (QoL); usability and satisfaction were assessed using researcher-developed tools. Descriptive and inferential statistics were used to evaluate change over time. Results Twelve video scenarios were created tailored to persons with chronic illness. Thirty-nine participants piloted the program, reporting an average of two chronic conditions. Baseline QoL scores were lower than normative data, self-efficacy scores were low-to-moderate, and PA levels were very low. Participants averaged using one video per day. 62% of participants provided complete self-reported pre- and post-QoL and SE data and 41% provided pre- and post-PA (accelerometer) data. Significant improvements were found for general health and energy scores, and trends were found for self-efficacy scores. PA levels were highly variable with nonsignificant increases from baseline. Effect sizes were low-moderate for several measures. About 79% of participants rated program \Very good\'; all recommended the program. Linking Evidence to Action Physical activity has multiple health benefits for all people including those living with chronic conditions. Even short bouts of physical activity have health benefits. A program of 3-min follow-along PA videoclips for individuals living with chronic disease holds promise for clinicians and researchers.'",physical activity; chronic illness; short-duration physical activity bouts; ACTIVITY INTERVENTION; ENERGY-EXPENDITURE; HOSPITALIZATION; METAANALYSIS; ASSOCIATION; EXERCISE; ARMBAND; ADULTS; LIFE; Nursing; Nursing; Video Meta Results Raw,Tucker S and Abbott L and Anderson R and Eppen K and Laroche H and Paelmo E and Lanningham-Foster L,,,0,132
143,Benefits of illustrations and videos for technical documentations,"Technical devices completely surround us and, as they become more and more widespread and important, the need for technical documentation increases as well. While there is a large body of research concerning the question how materials should be designed in order to foster learning optimally, there is astonishingly little research on the question how to design a documentation in order to facilitate its application - with respect to time, number of errors, and subjective measures. These issues are addressed in the present work. For this purpose, an experiment was conducted which compared three types of technical documentations - namely, \text only\' documentations",documentations with text and illustrations,Grosse CS and Jungmann L and Drechsler R,,,0,133
144,"The Arts and Education: Knowledge Generation, Pedagogy, and the Discourse of Learning","Within the past 20 years, the arts have gained increasing prominence in educational discourses as well as public arenas. At the same time that traditional genres of art (e.g., music, visual art, and performance) are being taught as part of school curricula, the study of the arts in education has taken on new venues in supporting learning and teaching through technology and multimedia. These new foci are especially critical in bridging the local and the global, and in linking cultures and worlds across age, time, and space that in earlier periods in history would have been virtually impossible to connect. Moreover, they portend opportunities for enhancing learning and improving pedagogy and practice. This chapter focuses on the arts within a social-cultural-contextual framework, examining their role as a (re)source in educational theory, research, and practice. Rather than highlighting individual disciplines within the field, typically referred to as \the arts",\' the chapter is concerned with the changing nature of the arts and what counts as the arts. The chapter has a six-part structure that begins with an overview of issues that are central to redefining the relationship of the arts and education. This is followed by a discussion of power,Gadsden VL,,,0,134
