Key,title,abstract,keywords,authors,year,doi,Included,ID
50,The impact of school mental health services on out-of-school suspension rates,"The current study investigated whether the presence of school-based mental health clinicians in an urban school district was associated with reduced out-of-school suspension rates. Forty one elementary schools with expanded school mental health (ESMH) programs were compared to 41 schools without ESMH programs. Correlational analyses revealed associations between suspension outcomes and several school-level demographic variables including school attendance rate, percent of students in poverty, and percent of nonwhite students in the school. After controlling for these variables, however, results of stepwise linear regressions demonstrated no significant differences between ESMH and non-ESMH schools on suspension outcomes. Results of the current study suggest that the presence of ESMH clinicians will not necessarily impact suspension rates in an elementary school. Targeted and well-implemented approaches to address behaviors that lead to suspension, or school- and system-level policies to provide alternatives to suspensions, will likely be a better route to achieving this outcome. © 2005 Springer Science + Business Media, Inc.",Behaviors; Expanded school mental health; Suspension,"Bruns, Eric J.; Moore, Elizabeth; Stephan, Sharon Hoover; Pruitt, David; Weist, Mark D.",2005,10.1007/s10964-005-1333-z,0,46
51,Prevention of nocturnal hypoglycemia using predictive alarm algorithms and insulin pump suspension,"OBJECTIVE - The aim of this study was to develop a partial closed-loop system to safely prevent nocturnal hypoglycemia by suspending insulin delivery when hypoglycemia is predicted in type 1 diabetes. RESEARCH DESIGN AND METHODS - Forty subjects with type 1 diabetes (age range 12-39 years) were studied overnight in the hospital. For the first 14 subjects, hypoglycemia (<60 mg/dl) was induced by gradually increasing the basal insulin infusion rate (without the use of pump shutoff algorithms). During the subsequent 26 patient studies, pump shutoff occurred when either three of five (n = 10) or two of five (n = 16) algorithms predicted hypoglycemia based on the glucose levels measured with the FreeStyle Navigator (Abbott Diabetes Care). RESULTS - The standardized protocol induced hypoglycemia on 13 (93%) of the 14 nights. With use of a voting scheme that required three algorithms to trigger insulin pump suspension, nocturnal hypoglycemia was prevented during 6 (60%) of 10 nights. When the voting scheme was changed to require only two algorithms to predict hypoglycemia to trigger pump suspension, hypoglycemia was prevented during 12 (75%) of 16 nights. In the latter study, there were 25 predictions of hypoglycemia because some subjects had multiple hypoglycemic events during a night, and hypoglycemia was prevented for 84% of these events. CONCLUSIONS - Using algorithms to shut off the insulin pump when hypoglycemia is predicted, it is possible to prevent hypoglycemia on 75% of nights (84% of events) when it would otherwise be predicted to occur. © 2010 by the American Diabetes Association.",,"Buckingham, Bruce; Chase, H. Peter; Dassau, Eyal; Cobry, Erin; Clinton, Paula; Gage, Victoria; Caswell, Kimberly; Wilkinson, John; Cameron, Fraser; Lee, Hyunjin; Bequette, B. Wayne; Doyle, Francis J.",2010,10.2337/dc09-2303,0,47
52,A comparison of two multicomponent procedures to increase food consumption,"We compared two procedural variations of response cost (RC) of preferred materials to increase mouth clean in a five-year-old boy diagnosed with autism. Noncontingent presentation of preferred materials (NCR) was compared to differential reinforcement of alternative behavior (DRA) when returning preferred materials once they have been removed for refusal or expulsion of food. Results indicated that both procedures increased swallowing and reduced problem behavior; however, NCR + RC was superior to DRA + RC with respect to overall mean and initial treatment measures. Copyright © 2005 John Wiley & Sons, Ltd.",,"Buckley, Scott D.; Strunck, Patricia G.; Newchok, Debra K.",2005,10.1002/bin.188,0,48
53,Evaluation of Opioid Prescriptions After Urogynecologic Surgery Within a Large Health Care Organization: How Much Are We Prescribing?,"Objectives Data regarding postoperative opioid prescriptions for patients undergoing urogynecologic surgery are sparse. Our objective was to quantify surgeon prescribing patterns for patients undergoing surgery for pelvic organ prolapse or stress urinary incontinence. Methods Patients who underwent surgery for pelvic organ prolapse or SUI within a large health care maintenance organization were identified by procedural codes within the electronic medical record. Medical records were reviewed for demographic and clinical data. Our primary objective was to describe initial postoperative morphine milligram equivalent (MME) dosages for patients undergoing various urogynecologic surgeries. Secondary objectives were to evaluate rates of postoperative non-opioid analgesic prescriptions, presence of additional postoperative opioid prescriptions within 90 days of surgery, and to characterize prescribing patterns of surgeons from different specialties. Results We evaluated 855 patients undergoing 7 urogynecologic surgeries. There was wide variation in the quantity of MME prescribed to patients undergoing different urogynecologic surgeries, and the mean MME ranged from 137.6 mg after a colpocleisis to 214.1 mg after a laparoscopic uterosacral ligament suspension. Less than two thirds of patients received a postoperative nonsteroidal anti-inflammatory drug (NSAID) prescription, and rates of NSAID prescriptions varied widely between surgeons from different specialties. Thirty-nine (4.6%) patients received an additional postoperative opioid prescription specifically for the indication of persistent postoperative pain. Conclusions There is wide variation in the range of MME prescribed postoperatively to patients undergoing common urogynecologic surgeries. Less than two thirds of patients received a postoperative NSAID prescription, which was found to be independently associated with a higher postoperative opioid prescription dose.",dosage; opioid; opioid refill; postoperative prescription; urogynecologic surgery,"Buono, Kristen; Brueseke, Taylor; Wu, Jun; Whitcomb, Emily",2019,10.1097/SPV.0000000000000657,0,49
54,Rapid inpatient behavioral treatment for choking phobia in children,"Six children with acquired choking phobia who failed outpatient intervention were treated in a rapid, behaviorally based inpatient program that integrated in vivo exposure with contingency management. Motivation to eat feared foods was increased via the manipulation of appetite and hospital privileges (e.g., visits, TV). Children were required to eat small quantities of feared food to receive privileges, and failure to meet these requirements resulted in privilege suspension. Elimination of the choking phobia occurred within 3 days. This approach is appropriate for cases in which outpatient treatment fails, in which parents have made legitimate attempts at home-based treatment, or in which the child's medical condition warrants it.",,"Burklow, Kathleen A.; Linscheid, Thomas",2004,10.1207/s15326888chc3302_1,0,50
55,DURAbility of basal versus lispro mix 75/25 insulin efficacy (DURABLE) trial 24-week results: Safety and efficacy of insulin lispro mix 75/25 versus insulin glargine added to oral antihyperglycemic drugs in patients with type 2 diabetes,"OBJECTIVE - To compare the ability of two starter insulin regimens to achieve glycemic control in a large, ethnically diverse population with type 2 diabetes. RESEARCH DESIGN AND METHODS - During the initiation phase of the DURABLE trial, patients were randomized to a twice-daily lispro mix 75/25 (LM75/25; 75% lispro protamine suspension, 25% lispro) (n = 1,045) or daily glargine (GL) (n = 1,046) with continuation of prestudy oral antihyperglycemic drugs. RESULTS - Baseline A1C was similar (LM75/25: 9.1 ± 1.3%; GL: 9.0 ± 1.2%; P = 0.414). At 24 weeks, LM75/25 patients had lower A1C than GL patients (7.2 ± 1.1 vs. 7.3 ± 1.1%, P = 0.005), greater A1C reduction (-1.8 ± 1.3 vs. -1.7 ± 1.3%, P = 0.005), and higher percentage reaching A1C target <7.0% (47.5 vs. 40.3%, P < 0.001). LM75/25 was associated with higher insulin dose (0.47 ± 0.23 vs. 0.40 ± 0.23 units·kg-1 ·day-1, P < 0.001) and more weight gain (3.6 ± 4.0 vs. 2.5 ± 4.0 kg, P < 0.0001). LM75/25 patients had a higher overall hypoglycemia rate than GL patients (28.0 ± 41.6 vs. 23.1 ± 40.7 episodes·pt -1·year-1, P = 0.007) but lower nocturnal hypoglycemia rate (8.9 ± 19.3 vs. 11.4 ± 25.3 episodes· pt-1·year-1, P = 0.009). Severe hypoglycemia rates were low in both groups (LM75/25: 0.10 ± 1.6 vs. GL: 0.03 ± 0.3 episodes·pt-1·year-1, P = 0.167). CONCLUSIONS - Compared with GL, LM75/25 resulted in slightly lower A1C at 24 weeks and a moderately higher percentage reaching A1C target <7.0%. Patients receiving LM75/25 experienced more weight gain and higher rates of overall hypoglycemia but lower rates of nocturnal hypoglycemia. Durability of regimens will be evaluated in the following 2-year maintenance phase. © 2009 by the American Diabetes Association.",,"Buse, John B.; Wolffenbuttel, Bruce H.R.; Herman, William H.; Shemonsky, Natalie K.; Jiang, Honghua H.; Fahrbach, Jessie L.; Scism-Bacon, Jamie L.; Martin, Sherry A.",2009,10.2337/dc08-2117,0,51
56,Randomized controlled trial of postoperative belladonna and opium rectal suppositories in vaginal surgery,"Background After vaginal surgery, oral and parenteral narcotics are used commonly for pain relief, and their use may exacerbate the incidence of sedation, nausea, and vomiting, which ultimately delays convalescence. Previous studies have demonstrated that rectal analgesia after surgery results in lower pain scores and less intravenous morphine consumption. Belladonna and opium rectal suppositories may be used to relieve pain and minimize side effects; however, their efficacy has not been confirmed. Objective We aimed to evaluate the use of belladonna and opium suppositories for pain reduction in vaginal surgery. Materials and Methods A prospective, randomized, double-blind, placebo-controlled trial that used belladonna and opium suppositories after inpatient or outpatient vaginal surgery was conducted. Vaginal surgery was defined as (1) vaginal hysterectomy with uterosacral ligament suspension or (2) posthysterectomy prolapse repair that included uterosacral ligament suspension and/or colporrhaphy. Belladonna and opium 16A (16.2/60 mg) or placebo suppositories were administered rectally immediately after surgery and every 8 hours for a total of 3 doses. Patient-reported pain data were collected with the use of a visual analog scale (at 2, 4, 12, and 20 hours postoperatively. Opiate use was measured and converted into parenteral morphine equivalents. The primary outcome was pain, and secondary outcomes included pain medication, antiemetic medication, and a quality of recovery questionnaire. Adverse effects were surveyed at 24 hours and 7 days. Concomitant procedures for urinary incontinence or pelvic organ prolapse did not preclude enrollment. Results Ninety women were randomly assigned consecutively at a single institution under the care of a fellowship-trained surgeon group. Demographics did not differ among the groups with mean age of 55 years, procedure time of 97 minutes, and prolapse at 51%. Postoperative pain scores were equivalent among both groups at each time interval. The belladonna and opium group used a mean of 57 mg morphine compared with 66 mg for placebo (P=.43) in 24 hours. Patient satisfaction with recovery was similar (P=.59). Antiemetic and ketorolac use were comparable among groups. Subgroup analyses of patients with prolapse and patients <50 years old did not reveal differences in pain scores. The use of belladonna and opium suppositories was uncomplicated, and adverse effects, which included constipation and urinary retention, were similar among groups. Conclusion Belladonna and opium suppositories are safe for use after vaginal surgery. Belladonna and opium suppositories did not reveal lower pain or substantially lower narcotic use. Further investigation may be warranted to identify a population that may benefit optimally from belladonna and opium use.",belladonna; opium; suppository,"Butler, Kristina; Yi, John; Wasson, Megan; Klauschie, Jennifer; Ryan, Debra; Hentz, Joseph; Cornella, Jeffrey; Magtibay, Paul; Kho, Roseanne",2017,10.1016/j.ajog.2016.12.032,0,52
57,Toward Predicting Youth Resistance to Internet Risk Prevention Strategies,"Strategies to protect youth from potentially problematic online experiences may be met with considerable resistance as young people may not be ready or willing to accept such interventions. This study seeks to identify specific Internet risk prevention strategies that are likely to be met with resistance from children and adolescents. It aims to advance the ability to predict when parents and their children will disagree on appropriate strategies for their household. A United States national sample of 456 parents indicated their level of support for a wide range of Internet risk prevention strategies. Their children, ranging from 10-16 years of age, also reported their own attitudes toward each strategy. Strategies resulting in the least disagreement from children include those that empower youth to protect themselves, as well as legal consequences or suspension from school for people who misbehave online. Analysis predicting disagreement between parents and their children revealed that certain characteristics of the relationship, particularly communicative difficulty and parenting style, factor into the problem. Studying the relationship between family communication and media use yields implications for parents and future research. © 2011 Broadcast Education Association.",,"Byrne, Sahara; Lee, Theodore",2011,10.1080/08838151.2011.546255,0,53
58,Primary packaging considerations in developing medicines for children: Oral liquid and powder for constitution,"The packaging presentation of oral liquid pediatric medicines is a critical step in maintaining chemical and physical stability, compliance, adherence, and proper handling by the target patient population, guardians, caregivers, and health-care professionals. The common packaging presentations for commercial oral liquid pediatric drug products are glass bottle, plastic bottle, sachet, and stick pack configurations. The type of pack presentation selected is driven by the quality target product profile (QTPP) that is designed around the physicochemical properties of the drug substance and the desired drug product suitability for the target population. The QTPP defines the intended use of the drug product, drug product quality criteria, dose strength, dosage form, container closure system, storage conditions, stability criteria, dosing device, shelf life, and attributes affecting the pharmacokinetic characteristics. Oral liquid pediatric formulations are typically prepared from a powder that is constituted at the time of use as a suspension or a solution for single or multiple use depending on the stability of the constituted formulation. Active ingredients with high aqueous solubility can be developed as a powder for oral solution and presented in a bottle for multiple use product and a stick pack, packet, or sachet for single-use product. Active ingredients with low aqueous solubility can be developed as a powder for oral suspension and presented in a bottle for multiple use product and a stick pack or sachet for single-use product. A secondary package may be used in cases where the primary pack failed to provide adequate protection against light degradation. This work will help formulation scientists select the most appropriate pack presentation in the early stages of pediatric clinical development.",Chemical stability; Degradation products; Moisture sorption; Pediatric; Physical stability; Physicochemical properties; Solubility,"Campbell, Gossett A.; Vallejo, Erick",2015,10.1002/jps.24223,0,54
59,"Differential antidepressant-like response to lithium treatment between mouse strains: Effects of sex, maternal care, and mixed genetic background","Background: Lithium is a mood stabilizer with both antidepressant and antimanic properties, however its mechanism of action is unclear. Identifying the genetic factors that influence lithium's therapeutic actions will be an important step to assist in identifying such mechanisms. We previously reported that lithium treatment of male mice has antidepressant-like effects in the C57BL/6J strain but that such effects were absent in the BALB/cJ strain. Objectives: This study aimed to assess the roles of both genetic and non-genetic factors such as sex and non-shared environmental conditions that may mediate differential behavioral responses to lithium. Methods: Mice were treated with lithium for 10 days and then tested in the forced swim test followed by lithium discontinuation and retesting to assess effects of lithium withdrawal. We also assessed effects of sex and cross-fostering on lithium response between the C57BL/6J and BALB/cJ strains, and antidepressant-like effects of lithium in the hybrid CB6F1/J strain that is derived from C57BL/6J and BALB/cJ parental strains. Results: Neither sex nor maternal care significantly influenced the differential antidepressant-like response to lithium. Withdrawal from lithium treatment reversed antidepressant-like effects in the C57BL/6J strain but had no effects in BALB/cJ mice. Lithium treatment did not result in antidepressant-like effects in the CB6F1/J strain. Conclusions: Genetic factors are likely primarily responsible for differential antidepressant-like effects of lithium in the C57BL/6J and BALB/cJ strains. Future studies identifying such genetic factors may help to elucidate the neurobiological mechanisms of lithium's therapeutic actions. © 2013 Springer-Verlag Berlin Heidelberg.",Bipolar disorder; Depression; Forced swim test; Inbred strains; Lithium; Maternal care; Mice,"Can, Adem; Piantadosi, Sean C.; Gould, Todd D.",2013,10.1007/s00213-013-3045-5,0,55
60,Co-occurrence of conduct problems and depressive symptoms in early adolescent boys: III. Prediction to young-adult adjustment,"The prediction of young-adult adjustment from early adolescent conduct problems and depressive symptoms was examined for an at-risk sample of approximately 200 males. Conduct problems and depressive symptoms were expected to show stability to young adulthood. It was predicted that early adolescent conduct problems would be associated with a broad range of adjustment problems in young adulthood due to cumulative adjustment failures. Early adolescent depressive symptoms were expected particularly to predict poor relationships with parents and peers. Additive and interactive effects of the two predictors were examined. Conduct problems and depressive symptoms showed significant stability to young adulthood. Conduct problems were associated with a broad range of adjustment problems including continuing problems in peer associations, substance use, self-esteem, relationships with parents, and new problems in noncompletion of education, unemployment, driver's license suspensions, and causing pregnancies. Depressive symptoms predicted particularly to problems in social relationships. Higher levels of both conduct problems and depressive symptoms in early adolescence did not predict to increased difficulties for any one outcome over either problem alone, either due to main or interaction effects. Such co-occurrence, however, did result in problem outcomes in multiple areas, thus, the poorest adjustment overall.",,"Capaldi, Deborah M.; Stoolmiller, Mike",1999,10.1017/S0954579499001959,0,56
61,The Tooth Fairy: Psychological Issues Related to Baby Tooth Loss and Mythological Working Through,"In this article, we focus on the Tooth Fairy legend that emerged in the United States and Britain in the nineteenth century and on the bedtime rituals associated with it. Drawing on various children's books, we present this legend and these rituals as among the many legends and rituals found around the world for dealing with the loss of baby teeth in early childhood. Our particular concern is with some of the psychological issues that are associated with the development of teeth in the second stage of infancy. We also draw on the clinical observations of Erik H. Erikson, as we focus especially on the role that teeth play in the loss of the original unity between the infant and its mother. We take note of Erikson's suggestion that this is, ontogenetically speaking, the experience that is portrayed in the biblical story of the Fall and expulsion from the Garden in Genesis 3. We view the rituals associated with the Tooth Fairy legend as a mythological means of enabling children to address and work through these psychological issues. © 2013 Springer Science+Business Media New York.",Baby teeth; Children's books; El Ratón Pérez; Erik H. Erikson; Guilt; Infant-mother relationship; Psychological issues; Rosemary Wells; The tooth fairy; The tooth mouse; Tooth fairy legend and rituals; Working through,"Capps, Donald; Carlin, Nathan",2014,10.1007/s11089-013-0545-5,0,57
62,Representing nursing knowledge on maternal and neonatal health: A study on the cultural suitability of ICNP®,"Purpose: The purpose of this study was to explore the representation of knowledge among nurses and midwives in a maternal and obstetrics setting, in a hospital in northern Portugal. The research had two main objectives: to contribute to the identification and definition of concepts that represent nursing knowledge in obstetrics and to participate in the validation of the International Classification for Nursing Practice (ICNP)®. Methods: Using a qualitative approach, the study was designed in three phases. The first phase aimed to identify the terms and expressions used by nurses in nursing documentation and oral report, using document analysis, observation and interview as data collection methods. The second phase intended to determine which terms and expressions corresponded to ICNP® concepts. The third phase aimed to analyse the definition of some ICNP® concepts. In both the second and third phases, a consensus approach was used based on the Delphi Technique. ICNP® concepts were identified from the words and expressions used by nurses and midwives to describe their practice.Results: The results of this study suggested modifications on some ICNP® concept definitions, namely burping, bonding, mother-child attachment, infant sucking, false labour pain, aborting, and uterine contraction; and the inclusion of specific characteristics in others, i.e. uterine expulsion, breast engorgement, colic, and hunger. New ICNP® concepts were also suggested, specifically mother-foetal attachment, uterine contraction after labour, pain after labour and foetal well-being.Conclusion: The study confirmed that ICNP® is an important instrument to identify the concepts needed to describe mother and child needs during the perinatal period. © 2010 The Authors. International Nursing Review © 2010 International Council of Nurses.",Delphi Technique; ICNP® Research; Maternity; Midwifery; Neonate; Nursing; Portugal,"Cardoso, A.; Paiva E Silva, A.",2010,10.1111/j.1466-7657.2010.00829.x,0,58
63,Implementing a statewide early childhood mental health consultation approach to preventing childcare expulsion,"State- and local-level mental health administrators and practitioners can work collaboratively to provide effective early childhood mental health consultation (ECMHC) services that address the growing need in communities to promote healthy socioemotional functioning in infants and young children and prevent longer term mental health challenges. This article describes one state's model of ECMHC, the Child Care Expulsion Prevention Program (CCEP), as well as preliminary evaluation findings on consultants' fidelity to the developed approach to service within 31 counties in Michigan. The CCEP approach is flexible, yet adheres to six cornerstones which are essential to effectively and consistently carrying out services across local projects, including the provision of relationship-based programmatic and child/family-centered consultation, hiring and supporting high-quality consultants through professional development and reflective supervision, ongoing provision of state-level technical assistance, use of evidence-based practices, and collaboration with other early childhood service providers. In addition to the overview of CCEP's approach and effectiveness, lessons learned are provided to guide those engaged in policy development, practice, and applied research pertaining to ECMHC. © 2012 Michigan Association for Infant Mental Health.",,"Carlson, John S.; Mackrain, Mary A.; van Egeren, Laurie A.; Brophy-Herb, Holly; Kirk, Rosalind H.; Marciniak, Deb; Falvay, Sheri; Zheng, Yan; Bender, Stacy L.; Tableman, Betty",2012,10.1002/imhj.21336,1,59
64,A preliminary empirical evaluation of KooLKIDS: A school-based program to reduce early onset antisocial behaviour in children,"Background The aim of the present study was to conduct a preliminary empirical evaluation of the KooLKIDS program, a school-based intervention that utilises a combination of whole-of-class and individual sessions for young children with early onset antisocial behaviour. Method Trained facilitators delivered the 13-session program to a completer sample of 49 primary school-aged children (7–11 years) with early onset antisocial behaviour (42 boys and seven girls suspended from school or at risk for suspension) and their peers. Results Analyses showed significant postintervention reductions on many outcome variables, including teacher and child self-rated aggression and antisocial traits. Significant improvements were also found on measures of emotional intensity and peer acceptance. Acceptability and feasibility data were promising. Conclusion KooLKIDS has the potential for redirecting the trajectory of antisocial behaviour towards more positive social and emotional outcomes for these at-risk children.",children; early onset antisocial behaviour; intervention,"Carroll, Annemaree; Sanders O’Connor, Emma; Houghton, Stephen J.; Hattie, John A.; Donovan, Caroline; Lynn, Sasha",2017,10.3109/13668250.2016.1190004,0,60
65,Implementation of a urogynecology-specific enhanced recovery after surgery (ERAS) pathway,"Objective: Enhanced recovery after surgery protocols were developed for colorectal surgery to hasten postoperative recovery. Variations of the protocol are being adopted for gynecological procedures despite limited population and procedure-specific outcome data. Our objective was to evaluate whether implementation of an enhanced recovery after surgery pathway would facilitate reduced length of admission in a urogynecology population. Materials and Methods: In this retrospective analysis of patients undergoing pelvic floor reconstructive surgery by 7 female pelvic medicine and reconstructive surgeons, we compared same-day discharge, length of admission and postoperative complications before and after implementation of an enhanced recovery after surgery pathway at a tertiary care hospital. Groups were compared using χ2 and Student t tests. Candidate variables that could have an impact on patient outcomes with P <.2 were included in multivariable logistic regression models. Satisfaction with surgical experience was assessed using a phone-administered questionnaire the day after discharge. Results: Mean age and body mass index of 258 women (137 before enhanced recovery after surgery and 121 enhanced recovery after surgery) were 65.5 ± 11.3 years and 28.2 ± 5.0 kg/m2. The most common diagnosis was pelvic organ prolapse (n = 242, 93.8%) including stage III pelvic organ prolapse (n = 61, 65.1%). Apical suspension procedures included 58 transvaginal (25.1%), 112 laparoscopic/robotic (48.8%), and 61 obliterative (26.4%). Hysterectomy was performed in 57.4% of women. Demographic and surgical procedures were similar in both groups. Compared with before enhanced recovery after surgery, the enhanced recovery after surgery group had a higher proportion of same-day discharge (25.9% vs 91.7%, P <.001) and a 13.8 hour shorter duration of stay (25.9 ± 13.5 vs 12.1 ± 11.2 hours, P <.001). Operative and postsurgical recovery room times were similar (2.6 ± 0.8 vs 2.6 ± 0.9 hours, P =.955; 3.7 ± 2.1 vs 3.6 ± 2.2 hours, P =.879). Women in the enhanced recovery after surgery group were more likely to be discharged using a urethral catheter (57.9% enhanced recovery after surgery vs 25.4% before enhanced recovery after surgery, P =.005). There were no group differences in total 30 day postoperative complications overall and for the following categories: urinary tract infections, emergency room visits, unanticipated office visits, and return to the operating room. However, enhanced recovery after surgery patients had higher 30 day hospital readmission rates (n = 8, 6.7% vs n = 2, 1.5%, P =.048). Patients before enhanced recovery after surgery were readmitted for myocardial infarction and chest pain. Enhanced recovery after surgery patients were admitted for weakness, chest pain, hyponatremia, wound complications, nausea/ileus, and ureteral obstruction. Three enhanced recovery after surgery patients returned to the operating room for ureteral obstruction (n = 1), incisional hernia (n = 1), and vaginal cuff bleeding (n = 1). Enhanced recovery after surgery patients also had more postoperative nursing phone notes (2.6 ± 1.7 vs 2.1 ± 1.4, P =.030). On multivariable logistic regressions adjusting for age and operative time, same-day discharge was more likely in the enhanced recovery after surgery group (odds ratio, 32.73, 95% confidence interval [15.23–70.12]), while the odds of postoperative complications and emergency room visits were no different. After adjusting for age, operative time, and type of prolapse surgery, readmission was more likely in the enhanced recovery after surgery group (odds ratio, 32.5, 95% confidence interval [1.1–28.1]). In the enhanced recovery after surgery group, patient satisfaction (n = 77 of 121) was reported as very good or excellent by 86.7% for pain control, 89.6% for surgery preparedness, and 93.5% for overall surgical experience; 89.6% did not recall any postoperative nausea during recovery. Conclusion: Enhanced recovery after surgery implementation in a urogynecology population resulted in a greater proportion of same-day discharge and high patient satisfaction but with slightly increased hospital readmissions within 30 days.",enhanced recover after surgery; pelvic floor reconstructive surgery; pelvic organ prolapse; same-day discharge,"Carter-Brooks, Charelle M.; Du, Angela L.; Ruppert, Kristine M.; Romanova, Anna L.; Zyczynski, Halina M.",2018,10.1016/j.ajog.2018.06.009,0,61
66,The dual-diagnosis patient in a psychiatric day treatment program: A treatment failure,"This study was undertaken to determine the effectiveness of treating the dual-diagnosis patient in a standard psychiatric day treatment program. These patients, presenting with psychiatric disorder coexisting with alcohol and/or drug abuse, present a major problem in treatment because of their emotional fragility, their propensity to impulsive acting-out behaviors, and their adaptation to psychiatric symptomatology via self-medication with illicit drugs. Of the 24 dual-diagnosis patients admitted to our Day Treatment Center in 1988, 57% left treatment at or before 8 weeks following admission, as opposed to 21% of a nonsubstance abusing psychiatric control group. Their rate of absenteeism and suspensions for continuing abuse and infraction of the rules was four times that of the controls. In light of these data, it appears that these patients require highly specialized treatment strategies not generally available in a conventional psychiatric day hospital. © 1991.",alcohol abuse; day treatment; dual-diagnosis; substance abuse; treatment failures,"Case, Nan",1991,10.1016/0740-5472(91)90029-A,0,62
67,Selective Gut Decontamination Reduces Nosocomial Infections and Length of Stay but Not Mortality or Organ Failure in Surgical Intensive Care Unit Patients,"Suppression of the gut luminal aerobic flora to reduce nosocomial infections was tested in a prospective, randomized, double-blind, placebo-controlled clinical trial in patients in a surgical intensive care unit who had persistent hypermetabolism. Forty-six patients were randomized to receive either norfloxacin, 500-mg suspension every 8 hours, together with nystatin, 1 million units every 6 hours, or matching placebo solutions administered through a nasogastric tube within 48 hours of surgical intensive care unit admission. Selective gut decontamination with the experimental therapy or placebo solutions continued for at least 5 days or until the time of surgical intensive care unit discharge. Patients were monitored with routine surveillance cultures for the development of nosocomial infections, as defined by criteria from the Centers for Disease Control. All other therapy was given as clinically indicated, including systemic antibiotics. The selective gut decontamination group experienced a significant reduction in the incidence of nosocomial infections and a reduced length of stay. However, these results were not associated with a concomitant decrease in progressive multiple organ failure syndrome, adult respiratory distress syndrome, or mortality. © 1992, American Medical Association. All rights reserved.",,"Cerra, Frank B.; Maddaus, Mike A.; Dunn, David L.; Wells, Carol L.; Konstantinides, Nancy N.; Lehmann, Sharon L.; Mann, Henry J.",1992,10.1001/archsurg.1992.01420020045007,0,63
68,Inefficiency of levothyroxine suspension in a neonate with congenital hypothyroidism,"Background: Congenital hypothyroidism is one of the major causes of preventable mental retardation. Diagnosis, hormonal replacement and normalization of thyroid function tests should happen before 2–3 weeks of life. Levothyroxine is the treatment of choice for congenital hypothyroidism. Case presentation: A patient born at 32 weeks for gestational age with a birthweight of 1.73 kg. The pregnancy and delivery were uncomplicated. The physical exam was unremarkable. The initial newborn screen noted a thyroid stimulating hormone (TSH) of 70.5 mIU/mL (n < 20 mIU/mL). Serum thyroid function test revealed a TSH of 215 mIU/mL and free thyroxine (FT4) of 0.08 ng/dL. The patient was started on levothyroxine 25 μg tablet daily at day of life (DOL) 7. Repeat TSH and FT4 after 1 week of treatment, revealed a TSH of 0.686 and FT4 of 4.12 ng/dL, levothyroxine was discontinued. Repeat tests after 1 week, showed a TSH of 47.5 mIU/mL and a FT4 of 0.84 ng/dL. Levothyroxine in a liquid form at 25 μg a day was started on DOL 21. On DOL 38, TSH was repeated and was noted to be 120 mIU/mL. Levothyroxine was switched to a tablet formulation and was increased to 37.5 μg daily. Repeat tests at DOL 50, showed a TSH that was trending down to 9.241 mIU/mL. Conclusion: Levothyroxine (T4) is a synthetic hormone considered to be the standard of care for the treatment of congenital hypothyroidism. Treatment is most effective if given orally in tablet form. To date, there are no liquid formulations and no compounding recipes that produce a stable concentration of levothyroxine in the USA. Efforts to create suspensions, especially for neonates, should be carefully considered as this is a critical time for brain development. The case presented shows how treatment of congenital hypothyroidism can be ineffective if using a liquid formulation of levothyroxine.",,"Chan, Jacqueline T.; D’Ambrosio, Fabiola; Minutti, Carla Z.",2019,10.1515/crpm-2018-0046,0,64
69,Associations between the timing of childhood adversity and adulthood suicidal behavior: A nationally-representative cohort,"Background: Although childhood adversities (CAs) are known to be associated with later suicidal behavior, it is uncertain whether the timing of specific CAs may influence this association. Methods: We analyzed nationally representative data for 9205 participants from the Korean Welfare Panel Study. Four different CAs (parental death, parental divorce, suspension of school education and being raised in a relative's house due to financial strain) were assessed and were categorized as early childhood and adolescent onset. Lifetime experiences of suicidal behaviors along with the age of the first time experience were recorded. Cox regression was used. Results: After adjusting for age, sex, and childhood socioeconomic status, parental death before the age of 12 was associated with adulthood suicidal behavior (ideation HR 1.35, 95% CI 1.13, 1.61; attempt HR 1.60, 95% CI 1.02, 2.52), while suspension of school due to financial strain was associated with suicidal behavior when it occurred at adolescence (ideation HR 1.48, 95% CI 1.22, 1.79; plan HR 1.69, 95% CI 1.16, 2.48). When we also adjusted for adulthood SES, which is a potential mediator, there was no significant change except that the association between early parental death and suicidal attempt became non-significant (HR: 1.43, 95% CI: 0.92, 2.26). Limitations: Experience of CA was assessed retrospectively, and the assessment of suicidal attempt was not specifically defined. There could be selection bias due to loss to the follow-up. Conclusions: There may be a critical period for the effect of CA on later suicidal behavior depending on the characteristics of CA.",Attempted suicide; Childhood adversity; Epidemiology; Republic of Korea; Suicidal ideation,"Chang, Hyoung Yoon; Chung, Yeonseung; Keyes, Katherine M.; Jung, Sun Jae; Kim, Seung Sup",2015,10.1016/j.jad.2015.06.025,1,65
